gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
0,1,0,0,0,0,11,115,1
0,1,0,0,0,0,0,290,0
0,0,0,1,0,0,400,601,1
1,0,0,0,1,1,0,20,0
1,0,0,1,0,1,989,649,1
0,0,1,0,0,1,0,37,1
0,0,1,0,0,0,39,1807,1
1,0,0,0,1,1,94,4896,1
0,1,0,0,0,0,0,620,0
0,1,0,0,0,0,0,1037,1
0,1,0,0,0,1,13,511,1
0,0,0,0,1,1,26,82,1
1,0,0,1,0,1,27,122,1
1,0,0,0,1,0,0,152,0
1,0,0,0,1,1,29,40,1
1,0,0,1,0,1,46,28,1
1,1,0,0,0,1,970,17284,1
0,1,0,0,0,0,0,3151,0
1,1,0,0,0,1,0,11,0
1,0,0,1,0,1,32,117,1
1,0,0,0,1,1,0,779,0
1,0,0,0,1,1,29,3551,1
1,0,0,1,0,1,80,7580,1
1,1,0,0,0,1,0,984,0
1,0,0,1,0,1,68,0,1
1,0,0,0,1,1,168,7059,1
0,0,1,0,0,1,12,0,1
0,0,0,1,0,0,2406,1687,1
1,1,0,0,0,1,340,3823,1
1,0,0,1,0,1,0,24,0
1,0,1,0,0,1,20,11,1
1,0,1,0,0,1,562,10964,1
0,0,1,0,0,0,44,90,1
1,0,0,0,1,1,28,49,1
1,1,0,0,0,1,0,763,0
1,0,0,1,0,1,188,4388,1
1,1,0,0,0,1,204,5898,1
1,0,1,0,0,1,0,13,0
1,0,0,0,1,1,0,387,0
1,0,0,1,0,1,0,41,0
0,0,1,0,0,1,20,318,1
1,1,0,0,0,0,58,116,1
1,0,0,1,0,1,381,262,1
1,0,0,0,1,1,0,64,0
1,0,1,0,0,1,0,15,0
0,1,0,0,0,0,24,13,1
1,0,0,0,1,1,86,1726,1
1,1,0,0,0,0,0,15,0
0,0,0,0,1,1,154,1913,1
1,0,0,1,0,1,261,7623,1
1,0,1,0,0,1,0,100,0
0,0,0,0,1,1,111,1404,1
0,0,0,0,1,0,0,29,0
0,0,1,0,0,1,11,1019,1
